Date,momentum_score_z_weight,liquidity_1m_z_weight,downside_risk_score_z_weight,volatility_score_z_weight
2010-01-31,0.35,0.15,0.25,0.25
2010-02-28,0.35,0.15,0.25,0.25
2010-03-31,0.35,0.15,0.25,0.25
2010-04-30,0.35,0.15,0.25,0.25
2010-05-31,0.35,0.15,0.25,0.25
2010-06-30,0.35,0.15,0.25,0.25
2010-07-31,0.35,0.15,0.25,0.25
2010-08-31,0.35,0.15,0.25,0.25
2010-09-30,0.35,0.15,0.25,0.25
2010-10-31,0.35,0.15,0.25,0.25
2010-11-30,0.35,0.15,0.25,0.25
2010-12-31,0.35,0.15,0.25,0.25
2011-01-31,0.35,0.15,0.25,0.25
2011-02-28,0.35,0.15,0.25,0.25
2011-03-31,0.35,0.15,0.25,0.25
2011-04-30,0.35,0.15,0.25,0.25
2011-05-31,0.35,0.15,0.25,0.25
2011-06-30,0.35,0.15,0.25,0.25
2011-07-31,0.35,0.15,0.25,0.25
2011-08-31,0.35,0.15,0.25,0.25
2011-09-30,0.35,0.15,0.25,0.25
2011-10-31,0.35,0.15,0.25,0.25
2011-11-30,0.35,0.15,0.25,0.25
2011-12-31,0.35,0.15,0.25,0.25
2012-01-31,0.35,0.15,0.25,0.25
2012-02-29,0.35,0.15,0.25,0.25
2012-03-31,0.35,0.15,0.25,0.25
2012-04-30,0.35,0.15,0.25,0.25
2012-05-31,0.35,0.15,0.25,0.25
2012-06-30,0.35,0.15,0.25,0.25
2012-07-31,0.35,0.15,0.25,0.25
2012-08-31,0.35,0.15,0.25,0.25
2012-09-30,0.35,0.15,0.25,0.25
2012-10-31,0.35,0.15,0.25,0.25
2012-11-30,0.35,0.15,0.25,0.25
2012-12-31,0.35,0.15,0.25,0.25
2013-01-31,0.20142983555147997,0.03,0.4292625398775744,0.3393076245709457
2013-02-28,0.06999999999999999,0.03,0.46042434429921686,0.43957565570078316
2013-03-31,0.06999999999999999,0.03,0.24735996774232033,0.6526400322576797
2013-04-30,0.06999999999999999,0.03,0.26387165104457017,0.6361283489554299
2013-05-31,0.6002765473091215,0.03,0.05,0.3197234526908785
2013-06-30,0.1728112880569032,0.03,0.4392720188135896,0.35791669312950725
2013-07-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2013-08-31,0.3151633816029148,0.03,0.3816081794685936,0.27322843892849163
2013-09-30,0.09179659240325412,0.03,0.5106626825005938,0.3675407250961521
2013-10-31,0.06999999999999999,0.03,0.44935722612893736,0.45064277387106266
2013-11-30,0.06999999999999999,0.03,0.42566983215139026,0.47433016784860976
2013-12-31,0.06999999999999999,0.03,0.4943944259091388,0.4056055740908613
2014-01-31,0.6640981069409677,0.03,0.25590189305903227,0.05
2014-02-28,0.16734489075416842,0.03,0.36607091259807983,0.4365841966477518
2014-03-31,0.16967535381882531,0.03,0.3967889691764625,0.4035356770047122
2014-04-30,0.23356933505955568,0.03,0.34190039282769097,0.3945302721127534
2014-05-31,0.5450102033166643,0.03,0.05,0.3749897966833357
2014-06-30,0.09053086851233895,0.1896281617840167,0.2814209820959463,0.43841998760769807
2014-07-31,0.38633704487104537,0.03,0.30468299280483097,0.27897996232412375
2014-08-31,0.11942944433239905,0.03,0.3350291678476741,0.5155413878199269
2014-09-30,0.35,0.15,0.25,0.25
2014-10-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2014-11-30,0.06999999999999999,0.03309794457951923,0.8286547724200994,0.06824728300038141
2014-12-31,0.269711878624926,0.03,0.5030962940268806,0.19719182734819346
2015-01-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2015-02-28,0.1490307536591158,0.03,0.43646962213222457,0.3844996242086597
2015-03-31,0.87,0.03,0.05,0.05
2015-04-30,0.7091869940931405,0.15224310665402813,0.0640416230109414,0.07452827624189003
2015-05-31,0.7476904940105583,0.03,0.05,0.17230950598944172
2015-06-30,0.87,0.03,0.05,0.05
2015-07-31,0.2694149269371418,0.03,0.4246921815660078,0.2758928914968504
2015-08-31,0.6844207878158066,0.21557921218419343,0.05,0.05
2015-09-30,0.5379537539764613,0.36204624602353863,0.05,0.05
2015-10-31,0.18048159120216167,0.03364555329036439,0.4530838610231113,0.3327889944843626
2015-11-30,0.87,0.03,0.05,0.05
2015-12-31,0.7247335791236201,0.03,0.19397678428702742,0.051289636589352455
2016-01-31,0.5815921466435002,0.03,0.12991514562188416,0.2584927077346156
2016-02-29,0.06999999999999999,0.8300000000000001,0.05,0.05
2016-03-31,0.06999999999999999,0.07552271094500852,0.6989669679779544,0.15551032107703716
2016-04-30,0.09489721894917162,0.03,0.5062962834743594,0.368806497576469
2016-05-31,0.1873432909925291,0.03,0.37089780365475117,0.4117589053527198
2016-06-30,0.2825287329497414,0.03,0.37450402938963556,0.31296723766062307
2016-07-31,0.06999999999999999,0.4159739074965093,0.37594092302552123,0.13808516947796948
2016-08-31,0.15518640594622052,0.03,0.34068914917243587,0.47412444488134364
2016-09-30,0.06999999999999999,0.03,0.4052406357410764,0.49475936425892364
2016-10-31,0.25629073687657816,0.03,0.34622701304273285,0.367482250080689
2016-11-30,0.06999999999999999,0.7212862356449303,0.05,0.15871376435506973
