Framework,Model,Annualised return,Annualised volatility,Sharpe ratio,Maximum drawdown,Calmar ratio,Turnover,Net return after costs,Average transaction cost rate
F1: No control,S1: Static equal-dimension model,14.88%,16.64%,0.89,-16.41%,0.91,53.11%,13.71%,0.09%
F2: PTA,S1: Static equal-dimension model,14.88%,16.64%,0.89,-16.41%,0.91,53.11%,13.71%,0.09%
F3: Holding-buffer rule,S1: Static equal-dimension model,15.75%,15.89%,0.99,-17.14%,0.92,12.43%,15.46%,0.02%
F1: No control,A1: Rolling IC adaptive model,12.96%,16.89%,0.77,-23.40%,0.55,61.02%,11.72%,0.09%
F2: PTA,A1: Rolling IC adaptive model,13.04%,17.01%,0.77,-23.40%,0.56,58.76%,11.87%,0.09%
F3: Holding-buffer rule,A1: Rolling IC adaptive model,13.83%,16.95%,0.82,-21.49%,0.64,14.69%,13.49%,0.03%
F1: No control,L1: Ridge IC model,14.15%,17.56%,0.81,-24.73%,0.57,73.45%,12.60%,0.12%
F2: PTA,L1: Ridge IC model,16.29%,17.47%,0.93,-24.73%,0.66,68.93%,14.83%,0.11%
F3: Holding-buffer rule,L1: Ridge IC model,11.29%,16.03%,0.70,-18.52%,0.61,24.86%,10.73%,0.04%
F1: No control,L2: Lasso IC model,13.23%,17.23%,0.77,-24.73%,0.53,67.80%,11.77%,0.11%
F2: PTA,L2: Lasso IC model,14.41%,17.25%,0.84,-24.73%,0.58,67.80%,12.95%,0.11%
F3: Holding-buffer rule,L2: Lasso IC model,15.46%,15.85%,0.98,-17.14%,0.90,19.21%,15.05%,0.03%
F1: No control,L3: Elastic Net IC model,13.08%,17.29%,0.76,-24.73%,0.53,65.54%,11.66%,0.11%
F2: PTA,L3: Elastic Net IC model,13.85%,17.00%,0.82,-24.73%,0.56,67.80%,12.39%,0.11%
F3: Holding-buffer rule,L3: Elastic Net IC model,15.46%,15.85%,0.98,-17.14%,0.90,19.21%,15.05%,0.03%
F1: No control,T1: Random Forest IC model,10.42%,17.80%,0.59,-24.82%,0.42,62.15%,9.11%,0.10%
F2: PTA,T1: Random Forest IC model,8.54%,17.96%,0.48,-27.76%,0.31,59.89%,7.33%,0.09%
F3: Holding-buffer rule,T1: Random Forest IC model,12.90%,16.95%,0.76,-24.74%,0.52,20.34%,12.46%,0.03%
F1: No control,T2: XGBoost IC model,12.04%,17.59%,0.68,-21.04%,0.57,68.93%,10.59%,0.11%
F2: PTA,T2: XGBoost IC model,11.94%,17.62%,0.68,-21.04%,0.57,67.80%,10.51%,0.11%
F3: Holding-buffer rule,T2: XGBoost IC model,11.03%,17.54%,0.63,-20.93%,0.53,25.99%,10.50%,0.04%
