Framework,Model,Threshold,Annualised return,Annualised volatility,Sharpe ratio,Maximum drawdown,Calmar ratio,Turnover,Net return after costs,Average transaction cost rate
F3: Holding-buffer rule,S1: Static equal-dimension model,Top 4,16.65%,16.51%,1.01,-17.85%,0.93,28.25%,15.98%,0.05%
F3: Holding-buffer rule,S1: Static equal-dimension model,Top 5,18.69%,16.34%,1.14,-16.19%,1.15,14.69%,18.31%,0.03%
F3: Holding-buffer rule,S1: Static equal-dimension model,Top 6,15.75%,15.89%,0.99,-17.14%,0.92,12.43%,15.46%,0.02%
F3: Holding-buffer rule,A1: Rolling IC adaptive model,Top 4,15.87%,17.08%,0.93,-23.40%,0.68,38.42%,15.02%,0.06%
F3: Holding-buffer rule,A1: Rolling IC adaptive model,Top 5,14.83%,16.51%,0.90,-23.40%,0.63,30.51%,14.16%,0.05%
F3: Holding-buffer rule,A1: Rolling IC adaptive model,Top 6,13.83%,16.95%,0.82,-21.49%,0.64,14.69%,13.49%,0.03%
F3: Holding-buffer rule,L1: Ridge IC model,Top 4,14.53%,17.43%,0.83,-24.73%,0.59,48.59%,13.52%,0.08%
F3: Holding-buffer rule,L1: Ridge IC model,Top 5,13.07%,17.79%,0.73,-24.49%,0.53,39.55%,12.23%,0.06%
F3: Holding-buffer rule,L1: Ridge IC model,Top 6,13.65%,16.87%,0.81,-16.49%,0.83,24.86%,13.09%,0.04%
F3: Holding-buffer rule,L2: Lasso IC model,Top 4,13.49%,17.38%,0.78,-24.73%,0.55,49.72%,12.34%,0.09%
F3: Holding-buffer rule,L2: Lasso IC model,Top 5,14.19%,17.47%,0.81,-24.49%,0.58,30.51%,13.52%,0.05%
F3: Holding-buffer rule,L2: Lasso IC model,Top 6,16.67%,16.97%,0.98,-16.49%,1.01,24.86%,16.08%,0.04%
F3: Holding-buffer rule,L3: Elastic Net IC model,Top 4,13.55%,17.27%,0.78,-24.73%,0.55,50.85%,12.40%,0.09%
F3: Holding-buffer rule,L3: Elastic Net IC model,Top 5,11.14%,18.01%,0.62,-24.49%,0.45,32.77%,10.39%,0.06%
F3: Holding-buffer rule,L3: Elastic Net IC model,Top 6,11.83%,17.38%,0.68,-21.07%,0.56,23.73%,11.29%,0.04%
F3: Holding-buffer rule,T1: Random Forest IC model,Top 4,13.53%,17.36%,0.78,-25.46%,0.53,37.29%,12.69%,0.06%
F3: Holding-buffer rule,T1: Random Forest IC model,Top 5,14.15%,16.93%,0.84,-24.52%,0.58,31.64%,13.48%,0.05%
F3: Holding-buffer rule,T1: Random Forest IC model,Top 6,14.16%,16.10%,0.88,-21.77%,0.65,20.34%,13.72%,0.03%
F3: Holding-buffer rule,T2: XGBoost IC model,Top 4,12.44%,17.20%,0.72,-20.89%,0.60,38.42%,11.57%,0.07%
F3: Holding-buffer rule,T2: XGBoost IC model,Top 5,12.09%,17.16%,0.70,-22.67%,0.53,30.51%,11.40%,0.05%
F3: Holding-buffer rule,T2: XGBoost IC model,Top 6,12.71%,16.89%,0.75,-21.77%,0.58,24.86%,12.17%,0.04%
