sample,outcome,n_obs,pearson_r_raw_x,pearson_p_raw_x,spearman_rho,spearman_p,ols_slope_raw_x,ols_intercept_raw_x,ols_r2_raw_x,ols_p_raw_x,delta_y_per_1sd_raw_x,delta_y_per_1sd_raw_x_bps,pearson_r_log10_x,pearson_p_log10_x,ols_slope_log10_x,ols_intercept_log10_x,ols_r2_log10_x,ols_p_log10_x,delta_y_per_1sd_log10_x,delta_y_per_1sd_log10_x_bps
Pooled,Transaction cost rate,2058,0.1154850413676882,1.4931473822927502e-07,0.038050159639604904,0.08439622925970643,25125.0007510282,0.0007884099471188652,0.013336794779696638,1.4931473822928971e-07,9.412481615197416e-05,0.9412481615197417,0.1081463998773933,8.764344601024551e-07,0.00010171491937314635,0.0018555666629059809,0.011695643806441048,8.764344601024574e-07,8.814353690663875e-05,0.8814353690663875
Pooled,Effective cost per unit turnover,1372,0.24734160034816483,1.429053045437717e-20,0.26525028383547894,1.592683423217423e-23,49081.64758311117,0.0014513362244130915,0.06117786726279122,1.4290530454378235e-20,0.00019124192016284146,1.9124192016284147,0.2839422869381528,7.409701595285362e-27,0.00024073609798495754,0.003970309556029741,0.08062322231166819,7.409701595286523e-27,0.0002195411855225499,2.195411855225499
A1,Transaction cost rate,294,0.14883999976799855,0.010604999055108198,0.014549399276984077,0.8038089757737268,30900.783533187318,0.0006696038398612829,0.022153345530937802,0.01060499905510826,0.00011240412994584039,1.124041299458404,0.1249060229998608,0.03227728655424807,0.0001096820637573703,0.0018240375708696139,0.01560151458164175,0.03227728655424816,9.432916462092836e-05,0.9432916462092836
A1,Effective cost per unit turnover,179,0.2639499422379333,0.00035671477170141875,0.28647291444353773,0.00010120113336849535,47358.167371048476,0.00144992269510164,0.06966957200740825,0.0003567147717014201,0.00018558460091511682,1.8558460091511682,0.33246543447010496,5.443162968542423e-06,0.0002585370851860275,0.00415315887369264,0.11053326511739554,5.4431629685424435e-06,0.0002337582060108446,2.337582060108446
L1,Transaction cost rate,294,0.10827244049132777,0.0637347490456956,0.010846562206737777,0.8530776857262165,23245.8737646478,0.0008358245949862693,0.011722921369948128,0.06373474904569504,8.766019021608562e-05,0.8766019021608562,0.11133523141821615,0.05654632635389459,0.00010331182012478614,0.0019180267514847414,0.012395533754947763,0.05654632635389435,9.013990558986666e-05,0.9013990558986665
L1,Effective cost per unit turnover,205,0.31122913785716744,5.5671630715100335e-06,0.2635525344402502,0.00013445643171484852,54110.11934270382,0.0013781169475926335,0.0968635762513157,5.567163071510001e-06,0.00020820535267530675,2.0820535267530675,0.33376069015192456,1.0059660132080703e-06,0.00024153151887954276,0.003912961128719844,0.11139619829068892,1.0059660132080705e-06,0.0002232784586966489,2.232784586966489
L2,Transaction cost rate,294,0.09209043870365002,0.11510757685454907,0.059213831531669064,0.31160088540588327,19734.792288043158,0.0008878764417575791,0.00848064890063071,0.11510757685455,7.441632761056749e-05,0.7441632761056749,0.11429831228749944,0.0502441195910285,0.00010588730075292315,0.0019925963285817813,0.013064104191770723,0.0502441195910286,9.236203858136669e-05,0.9236203858136669
L2,Effective cost per unit turnover,212,0.25327119149213173,0.0001939034789420654,0.2916650398681097,1.5901962354285368e-05,48169.579143599105,0.001470686295434094,0.0641462964398442,0.0001939034789420579,0.00018253284436021923,1.8253284436021924,0.3023900932875243,7.387218352083616e-06,0.0002403085757161007,0.00398623261381301,0.09143976851843783,7.387218352083406e-06,0.00021793289441621546,2.1793289441621546
L3,Transaction cost rate,294,0.08158860455525169,0.16291912440975367,0.06607960107143486,0.2587134339751786,17959.992059873042,0.0009100580720146107,0.006656700393273237,0.16291912440975329,6.772331790986402e-05,0.6772331790986402,0.10295701105846931,0.07798297779417607,9.802605662994909e-05,0.0019323278194366804,0.010600146126093784,0.0779829777941756,8.546034619626665e-05,0.8546034619626666
L3,Effective cost per unit turnover,217,0.20384147536854166,0.0025514496574477606,0.28679002428632494,1.7806461545032216e-05,45876.20235862451,0.0015042259279754193,0.04155134708042372,0.002551449657447778,0.00017200148342397505,1.7200148342397505,0.2547252469756791,0.00014858050055613706,0.00024084506176749254,0.004021676712404408,0.06488495144682069,0.00014858050055613733,0.00021493722151560147,2.149372215156015
S1,Transaction cost rate,294,0.19789995215966155,0.0006433810009681214,0.09382494708389352,0.10839421636831252,39477.01438126931,0.0005525256500935104,0.039164391064796265,0.000643381000968131,0.00014878330080609871,1.4878330080609872,0.1653947022451715,0.004462713648239347,0.00014397411651050448,0.0020641399366938817,0.02735540753076893,0.0044627136482392905,0.00012434550623855278,1.2434550623855278
S1,Effective cost per unit turnover,154,0.2772335785634563,0.0004998573337337721,0.2231745484117401,0.0054002114922987905,50056.21886073803,0.001432409504559622,0.07685845708310014,0.0004998573337337671,0.00021941849304713896,2.1941849304713896,0.26534404479809476,0.0008815622302773182,0.00021810278722708207,0.0037146347050656357,0.07040746210981329,0.0008815622302773284,0.00021000843674967782,2.100084367496778
T1,Transaction cost rate,294,0.1097311928371348,0.060222501652121174,0.0525963952009425,0.3688547850405851,24309.578256637626,0.000797527381268958,0.012040934681460466,0.0602225016521207,9.166398342192197e-05,0.9166398342192197,0.09803055787117301,0.09339461709981953,9.448924853168432e-05,0.0017900605463228422,0.009609990276533401,0.09339461709982005,8.188985464581592e-05,0.8188985464581593
T1,Effective cost per unit turnover,200,0.210579524419731,0.002762391055451626,0.27708242706067654,7.126354068113959e-05,47119.24991733832,0.0014844619709838264,0.04434373610484007,0.002762391055451638,0.00018342563380377867,1.8342563380377868,0.26144875737701134,0.00018437012998226567,0.00025126096041280923,0.004107309415022003,0.06835545273398332,0.0001843701299822654,0.00022773536107670693,2.2773536107670695
T2,Transaction cost rate,294,0.08869153159537338,0.1292020552511387,0.005352043443998411,0.9271921264360256,20263.71403789941,0.0008656947949874333,0.00786618777673313,0.1292020552511384,7.639163903087012e-05,0.7639163903087013,0.06492085339150068,0.26717593094502934,6.446915936698045e-05,0.0015468993069113713,0.004214717205080726,0.26717593094502956,5.591751894065008e-05,0.5591751894065008
T2,Effective cost per unit turnover,205,0.2489030469723275,0.00031973631891027453,0.22241645888760428,0.0013492582218349388,51321.2356761038,0.0014308814305507161,0.061952726792108746,0.00031973631891027204,0.0001974661739164902,1.974661739164902,0.27067720022878394,8.66078610790407e-05,0.00023701830190446066,0.0039144897747835335,0.07326614672369319,8.660786107903932e-05,0.00021474060581326695,2.1474060581326695
