Sample,Metric,Mean,Median,10th percentile,90th percentile
Normal VIX,Average ln dollar volume,18.9791,19.6452,15.5850,20.7292
Normal VIX,Cross-sectional std of ln dollar volume,0.6945,0.5056,0.3847,1.2539
Normal VIX,log10 average Amihud illiquidity,-10.2420,-10.6791,-11.0735,-8.5424
Normal VIX,log10 cross-sectional std of Amihud illiquidity,-10.5114,-11.0308,-11.3990,-8.6828
Normal VIX,Average Corwin-Schultz spread,0.0029,0.0028,0.0019,0.0039
Normal VIX,Cross-sectional std of Corwin-Schultz spread,0.0009,0.0009,0.0005,0.0015
High VIX,Average ln dollar volume,18.0225,19.1762,14.1601,20.8193
High VIX,Cross-sectional std of ln dollar volume,0.8951,0.8913,0.4004,1.4076
High VIX,log10 average Amihud illiquidity,-9.4527,-10.1142,-10.8943,-7.4983
High VIX,log10 cross-sectional std of Amihud illiquidity,-9.6733,-10.3502,-11.2302,-7.5269
High VIX,Average Corwin-Schultz spread,0.0050,0.0044,0.0028,0.0077
High VIX,Cross-sectional std of Corwin-Schultz spread,0.0018,0.0015,0.0008,0.0034
