baseline_weight,ic_weight,mean_validation_net_sharpe,median_validation_net_sharpe,net_sharpe_standard_error,mean_validation_net_return,selected_by_one_se_rule,common_window_start,common_window_end,validation_start,validation_end,test_start,test_end
0.0000,1.0000,1.1027,1.1119,0.0221,0.1758,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.1000,0.9000,1.0917,1.0898,0.0114,0.1728,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.2000,0.8000,1.0570,1.0221,0.0304,0.1688,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.3000,0.7000,1.1244,1.1144,0.0132,0.1787,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.4000,0.6000,1.1836,1.1788,0.0185,0.1882,1.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.5000,0.5000,1.1457,1.1307,0.0189,0.1784,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.6000,0.4000,1.1317,1.1112,0.0332,0.1743,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.7000,0.3000,1.1135,1.1245,0.0188,0.1670,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.8000,0.2000,1.1487,1.1445,0.0049,0.1701,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
0.9000,0.1000,0.9723,0.9800,0.0065,0.1423,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
1.0000,0.0000,1.0801,1.0801,0.0000,0.1584,0.0000,2001-12-31,2026-05-31,2016-08-31,2021-06-30,2021-07-31,2026-05-31
