fold_id,train_period,validation_period,test_period,baseline_weight,ic_weight,mean_validation_net_sharpe,median_validation_net_sharpe,net_sharpe_standard_error,selected_by_one_se_rule
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.0000,1.0000,1.3649,1.3548,0.0276,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.1000,0.9000,1.3148,1.2932,0.0488,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.2000,0.8000,1.3393,1.3152,0.0199,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.3000,0.7000,1.3715,1.3557,0.0206,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.4000,0.6000,1.4041,1.4168,0.0159,1.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.5000,0.5000,1.3694,1.3652,0.0308,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.6000,0.4000,1.3524,1.3621,0.0183,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.7000,0.3000,1.3706,1.3919,0.0264,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.8000,0.2000,1.3391,1.3503,0.0164,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,0.9000,0.1000,1.1504,1.1432,0.0127,0.0000
1,2001-12-31 to 2013-05-31,2013-06-30 to 2018-05-31,2018-06-30 to 2020-05-31,1.0000,0.0000,1.3171,1.3171,0.0000,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.0000,1.0000,0.7815,0.7851,0.0166,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.1000,0.9000,0.7457,0.7633,0.0217,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.2000,0.8000,0.6806,0.6420,0.0309,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.3000,0.7000,0.7385,0.7295,0.0175,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.4000,0.6000,0.7936,0.7691,0.0206,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.5000,0.5000,0.7873,0.7675,0.0149,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.6000,0.4000,0.7720,0.7690,0.0202,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.7000,0.3000,0.7674,0.7688,0.0180,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.8000,0.2000,0.7928,0.7943,0.0015,1.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,0.9000,0.1000,0.6308,0.6383,0.0063,0.0000
2,2001-12-31 to 2015-05-31,2015-06-30 to 2020-05-31,2020-06-30 to 2022-05-31,1.0000,0.0000,0.7319,0.7319,0.0000,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.0000,1.0000,0.7958,0.8138,0.0459,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.1000,0.9000,0.7787,0.8046,0.0261,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.2000,0.8000,0.7561,0.7515,0.0333,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.3000,0.7000,0.7917,0.7839,0.0239,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.4000,0.6000,0.8586,0.8310,0.0227,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.5000,0.5000,0.8501,0.8865,0.0330,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.6000,0.4000,0.7084,0.6697,0.0529,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.7000,0.3000,0.7901,0.8090,0.0378,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.8000,0.2000,0.8488,0.8730,0.0297,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,0.9000,0.1000,0.8505,0.9073,0.0390,0.0000
3,2001-12-31 to 2017-05-31,2017-06-30 to 2022-05-31,2022-06-30 to 2024-05-31,1.0000,0.0000,0.8761,0.8761,0.0000,1.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.0000,1.0000,0.7865,0.7842,0.0548,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.1000,0.9000,0.8113,0.8350,0.0296,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.2000,0.8000,0.8029,0.7758,0.0336,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.3000,0.7000,0.7820,0.7502,0.0452,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.4000,0.6000,0.8188,0.8175,0.0560,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.5000,0.5000,0.8046,0.7766,0.0427,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.6000,0.4000,0.6716,0.5925,0.0756,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.7000,0.3000,0.7660,0.7815,0.0236,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.8000,0.2000,0.8214,0.8397,0.0359,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,0.9000,0.1000,0.7990,0.8427,0.0299,0.0000
4,2001-12-31 to 2019-05-31,2019-06-30 to 2024-05-31,2024-06-30 to 2026-05-31,1.0000,0.0000,1.0385,1.0385,0.0000,1.0000
